Codi_Districte,Nom_Districte,Nom_Carrer,Personas,Promedio_Import_Euros,Vehicles
10,Sant Martí,SN (Rbla Poblenou ,239465,15323.08843537415,103094
1,Ciutat Vella,Abat Safont,106028,11517.703703703704,33685
3,Sants-Montjuïc,Bacardí,183770,14625.393162393162,79559
8,Nou Barris,Baltasar Samper,170736,12431.811965811965,66780
9,Sant Andreu,Ptge Coello,149826,15124.747368421053,65745
7,Horta-Guinardó,Escornalbou,172109,15152.317073170732,80895
7,Horta-Guinardó,Flors de Maig,172109,15152.317073170732,80895
7,Horta-Guinardó,Marí,172109,15152.317073170732,80895
3,Sants-Montjuïc,Masriera,183770,14625.393162393162,79559
7,Horta-Guinardó,Pasteur,172109,15152.317073170732,80895
7,Horta-Guinardó,Camí Sant Llàtzer,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Traviata,148201,25606.775510204083,102272
9,Sant Andreu,Josep Finestres,149826,15124.747368421053,65745
7,Horta-Guinardó,Can Travi,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Pl Sta Creu Olorda,148201,25606.775510204083,102272
1,Ciutat Vella,Pl Gas,106028,11517.703703703704,33685
3,Sants-Montjuïc,Sense Nom (701921),183770,14625.393162393162,79559
9,Sant Andreu,Abat Odó,149826,15124.747368421053,65745
2,Eixample,Aragó,266857,18867.71676300578,128137
5,Sarrià-Sant Gervasi,Ptge Talaia,148201,25606.775510204083,102272
1,Ciutat Vella,Capellans,106028,11517.703703703704,33685
2,Eixample,Cartagena,266857,18867.71676300578,128137
1,Ciutat Vella,Cendra,106028,11517.703703703704,33685
3,Sants-Montjuïc,Consell de Cent,183770,14625.393162393162,79559
4,Les Corts,Doctor Ferran,81074,22022.035087719298,48622
5,Sarrià-Sant Gervasi,Pl Sarrià,148201,25606.775510204083,102272
4,Les Corts,Eugeni d'Ors,81074,22022.035087719298,48622
3,Sants-Montjuïc,Ferreria,183770,14625.393162393162,79559
2,Eixample,Londres,266857,18867.71676300578,128137
1,Ciutat Vella,Llàstics,106028,11517.703703703704,33685
3,Sants-Montjuïc,Melcior de Palau,183770,14625.393162393162,79559
